name,type,width,precision,nullable,default,domain,alias,description,definition_source,metadata_domains
OBJECTID,Integer,0,0,True,,,,,,
SUBTYPE,String,6,0,True,,,,,,
SYMBOL,Integer,0,0,True,,,,,,
TAG,String,15,0,True,,,,,,
TYPE,String,3,0,True,,,,,,
Shape_Leng,Real,0,0,True,,,,,,
SubTypeCod,Integer,0,0,True,,,,,,
LINE,String,50,0,True,,,,,,
created_user,String,255,0,True,,,,,,
created_date,DateTime,0,0,True,,,,,,
last_edited_user,String,255,0,True,,,,,,
last_edited_date,DateTime,0,0,True,,,,,,
Shape_Length,Real,0,0,True,FILEGEODATABASE_SHAPE_LENGTH,,,,,
