name,type,width,precision,nullable,default,domain,alias,description,definition_source,metadata_domains
OBJECTID,Integer,0,0,True,,,,,,
Route_Numb,Integer,0,0,True,,,,,,
Route_Name,String,254,0,True,,,,,,
Route_Type,String,254,0,True,,,,,,
Agency,String,254,0,True,,,,,,
Shape_Leng,Real,0,0,True,,,,,,
Dist_Polic,String,254,0,True,,,,,,
County_FIP,Integer,0,0,True,,,,,,
Municipal_,Integer,0,0,True,,,,,,
created_user,String,255,0,True,,,,,,
created_date,DateTime,0,0,True,,,,,,
last_edited_user,String,255,0,True,,,,,,
last_edited_date,DateTime,0,0,True,,,,,,
Shape_Length,Real,0,0,True,FILEGEODATABASE_SHAPE_LENGTH,,,,,
